company_name,industry,new_workers,ranking
"Allied Universal",Security,118531,1
Alorica,"Business Products & Services",43000,2
"Infiniti HR","Human Resources",37145,3
CircusTrix,"Advertising & Marketing",13739,4
ScribeAmerica,Health,11641,5
TaskUs,"Business Products & Services",9198,6
"Freddy's Frozen Custard","Food & Beverage",6494,7
"Pathway Vet Alliance",Health,4174,8
"Four Foods Group","Food & Beverage",3500,9
"Pacific Dental Services",Health,3356,10
"The Revenue Optimization Companies","Business Products & Services",3239,11
Strike,Energy,3226,12
Vaco,"Human Resources",3022,13
"MOD Pizza","Food & Beverage",3000,14
"Congruity HR","Human Resources",2967,15
"GeBBS Healthcare Solutions",Health,2851,16
"The Retail Outsource",Retail,2553,17
"NFI Industries","Logistics & Transportation",2500,18
"Odyssey Logistics & Technology","Logistics & Transportation",2399,19
"GrapeTree Medical Staffing",Health,2373,20
"Midway Staffing","Business Products & Services",2110,21
"Convergint Technologies",Security,1976,22
"Studio Movie Grill","Food & Beverage",1975,23
"Cooper's Hawk Winery & Restaurants","Food & Beverage",1933,24
"Courier Distribution Systems","Logistics & Transportation",1823,25
"Priority Ambulance",Health,1800,26
"Guaranteed Rate","Financial Services",1757,27
"CrossCountry Mortgage","Financial Services",1711,28
"Total Quality Logistics","Logistics & Transportation",1702,29
"ReSource Pro",Insurance,1603,30
MCI,"Business Products & Services",1600,31
PowerSchool,Education,1600,31
"SRS Distribution","Consumer Products & Services",1600,31
Spur,"Human Resources",1555,32
Diversified,"Business Products & Services",1520,33
"My Home Group Real Estate","Real Estate",1517,34
Patra,Insurance,1511,35
TalentBridge,"Human Resources",1485,36
"Kodiak Building Partners",Construction,1439,37
"Zoom Video Communications",Software,1400,38
"The HCI Group",Health,1376,39
"Reliable Staffing Services","Human Resources",1360,40
"Program Productions",Media,1262,41
"Pure Incubation","Advertising & Marketing",1257,42
"Grove Collaborative","Consumer Products & Services",1170,43
"TLC Associates","Business Products & Services",1158,44
Noom,Health,1141,45
"Punch Bowl Social","Food & Beverage",1140,46
"JP and Associates Realtors","Real Estate",1133,47
"Pro Mach",Manufacturing,1130,48
"Compunnel Software Group","Human Resources",1128,49
"Momentum Solar",Energy,1120,50
"Right at School",Education,1120,50
"Endeavor Schools",Education,1100,51
"Ubiquity Global Services","Business Products & Services",1100,51
"22nd Century Technologies","Government Services",1097,52
"Epic Personnel Partners","Human Resources",1044,53
"PM Hotel Group","Travel & Hospitality",1040,54
ProScribe,Health,1032,55
"1-Call Staffing","Human Resources",1021,56
"Russell Cellular",Retail,1018,57
"Southern Veterinary Partners",Health,1000,58
"Benzer Pharmacy",Health,1000,58
"Material Handling Systems",Engineering,1000,58
"Incorporate Massage","Business Products & Services",988,59
"Pediatric Home Healthcare",Health,981,60
"Nekter Juice Bar","Food & Beverage",951,61
"Open Systems Healthcare",Health,950,62
Equian,Health,945,63
Zenetex,"Government Services",942,64
"Power Design",Construction,932,65
"The Greer Group","Human Resources",931,66
Creamistry,"Food & Beverage",900,67
"Hargrove Engineers + Constructors",Engineering,900,67
"KW Property Management & Consulting","Real Estate",900,67
MedSpeed,Health,896,68
Epiq,"Business Products & Services",892,69
"Centauri Health Solutions",Health,890,70
"Stratus Video",Telecommunications,890,70
KLDiscovery,"IT Management",887,71
"84 Lumber Company",Construction,887,71
"Blink Fitness","Consumer Products & Services",885,72
"Famous Toastery","Food & Beverage",875,73
"Power Home Remodeling",Construction,870,74
iMobile,Telecommunications,850,75
"Lithko Contracting",Construction,840,76
"Park Place Technologies","IT Management",837,77
"OneDigital Health and Benefits",Insurance,827,78
ResiCap,"Real Estate",825,79
"Freedom Healthcare Staffing",Health,812,80
Novasyte,Health,811,81
"Morgan Properties","Real Estate",810,82
"FlexPrint Managed Print Solutions","Business Products & Services",805,83
"Chicken Salad Chick","Food & Beverage",804,84
"Behavioral Health Works",Health,800,85
"Pediatric Therapy",Education,800,85
"Flix Brewhouse","Food & Beverage",800,85
"iTechArt Group",Software,794,86
"LeafFilter Gutter Protection","Consumer Products & Services",793,87
"Access Information Management","IT Management",789,88
"Advance Financial","Financial Services",759,89
"Universal Plant Services",Construction,757,90
"Monogram Foods","Food & Beverage",750,91
"Dovel Technologies","IT System Development",747,92
"SkillSet Group","Human Resources",735,93
"Advanced Care Partners",Health,729,94
"Cano Health",Health,724,95
"Union Home Mortgage","Financial Services",708,96
Senture,"Government Services",703,97
"Visible Supply Chain Management","Logistics & Transportation",702,98
Gear,Software,700,99
Evereve,Retail,700,99
"Trinity Solar",Energy,699,100
AvidXchange,Software,692,101
"City Winery","Food & Beverage",670,102
"PM Pediatrics",Health,652,103
"Lightbridge Academy","Consumer Products & Services",649,104
"The Indigo Road Hospitality Group","Food & Beverage",630,105
MRO,Health,630,105
